"Class","Department","Type","Headcount","Share of total"
"100","Operations","Group","18","12%"
"110","G&A","Non-billable","13","8%"
"120","Marketing","Non-billable","5","3%"
"200","Datadog","Group","60","38%"
"210","Delivery","Billable","38","24%"
"220","Engineering","Billable","15","10%"
"230","Sales","Non-billable","7","4%"
"300","ServiceNow","Group","66","42%"
"310","Delivery","Billable","46","29%"
"320","Engineering","Billable","12","8%"
"330","Sales","Non-billable","8","5%"
"400","Synechron","Group","12","8%"
"410","Digital Platforms","Billable","12","8%"
"","Total","","156","100%"
"","Billable","","123","79%"
"","Non-billable","","33","21%"
