"Line item","Jan FY26","Feb FY26","Mar FY26","Q1 total","Apr FY26","May FY26","Jun FY26","Q2 total","Jul FY26","Aug FY26","Sep FY26","Q3 total","Oct FY26","Nov FY26","Dec FY26","Q4 total","FY26 full year"
"ACTUALS","","","","","","","","","","","","","","","","",""
"Bookings","1,820","1,755","2,110","5,685","1,900","2,010","2,520","6,430","2,130","2,190","2,760","7,080","3,050","3,190","3,610","9,850","29,045"
"  DD","461","518","497","1,476","583","547","652","1,782","684","634","749","2,066","893","940","1,008","2,840","8,165"
"  SN","944","828","1,136","2,908","872","1,000","1,292","3,164","944","1,048","1,376","3,368","1,448","1,508","1,768","4,724","14,164"
"  SW","297","305","335","938","336","338","415","1,089","384","377","463","1,225","528","554","613","1,695","4,946"
"  MSP","118","104","142","364","109","125","162","396","118","131","172","421","181","189","221","591","1,771"
"","","","","","","","","","","","","","","","","",""
"Revenue","1,720","1,795","1,880","5,395","1,910","1,965","2,040","5,915","2,085","2,130","2,210","6,425","2,265","2,330","2,410","7,005","24,740"
"  DD","912","951","996","2,859","1,012","1,041","1,081","3,135","1,105","1,129","1,171","3,405","1,200","1,235","1,277","3,713","13,112"
"    Services","516","539","564","1,619","573","590","612","1,775","626","639","663","1,928","680","699","723","2,102","7,422"
"    Software","206","215","226","647","229","236","245","710","250","256","265","771","272","280","289","841","2,969"
"    Managed DD","103","108","113","324","115","118","122","355","125","128","133","386","136","140","145","420","1,484"
"    Managed SOC","86","90","94","270","96","98","102","296","104","107","111","321","113","117","121","350","1,237"
"  SN","808","844","884","2,536","898","924","959","2,780","980","1,001","1,039","3,020","1,065","1,095","1,133","3,292","11,628"
"    Services","550","574","602","1,726","611","629","653","1,893","667","682","707","2,056","725","746","771","2,242","7,917"
"    Software","155","162","169","486","172","177","184","532","188","192","199","578","204","210","217","630","2,227"
"    MSP","103","108","113","324","115","118","122","355","125","128","133","386","136","140","145","420","1,484"
